NORAD Number,COSPAR Number,Official Name,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Inclination (degrees),Period (minutes),Launch Mass (kg.), Dry Mass (kg.) ,Expected Lifetime (yrs.),Launch Site,Launch Vehicle
44859,2019-089H,1HOPSAT-TD,USA,Hera Systems,Commercial,Earth Observation,LEO,0,566,576,36.9,96.08,22,,0.5,Satish Dhawan Space Centre,PSLV
42775,2017-036L,Aalto-1,Finland,Aalto University,Civil,Technology Development,LEO,0,497,517,97.45,94.7,5,,2,Satish Dhawan Space Centre,PSLV
41460,2016-025E,AAt-4,Denmark,University of Aalborg,Civil,Earth Observation,LEO,0,442,687,98.2,95.9,1,,,Guiana Space Center,Soyuz-2.1a
39508,2014-006A,ABS-2,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,75,35778,35793,0.08,1436.03,6330,,15,Guiana Space Center,Ariane 5 ECA
41588,2016-038A,ABS-2A,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,-75,35700,35700,0,1436.1,1800,,15,Cape Canaveral,Falcon 9
40424,2015-010A,ABS-3A,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,-3,35788,35803,0.1,1436,2000,,15,Cape Canaveral,Falcon 9
28184,2004-007A,ABS-4,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,75,35780,35793,0.01,1436.1,4143,1700,12,Cape Canaveral,Atlas 3
25924,1999-053A,ABS-6,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,159,35777,35794,0.01,1436.08,2894,1730,15,Baikonur Cosmodrome,Proton
47937,2021-022F,Adelis-Sampson 1,USA,Asher Space Research Institute at Technion/USAi Aircraft IndUSAtries,Government,Technology Development,LEO,0,538,561,97.5,95.5,9,,,Baikonur Cosmodrome,Soyuz-2.1a
47939,2021-022H,Adelis-Sampson 2,USA,Asher Space Research Institute at Technion/USAi Aircraft IndUSAtries,Government,Technology Development,LEO,0,539,599,97.5,95.5,9,,,Baikonur Cosmodrome,Soyuz-2.1a
47943,2021-022M,Adelis-Sampson 3,USA,Asher Space Research Institute at Technion/USAi Aircraft IndUSAtries,Government,Technology Development,LEO,0,537,561,97.5,95.5,9,,,Baikonur Cosmodrome,Soyuz-2.1a
47237,2020-095A,USA 311,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,0,35700,35800,0,1437.6,5400,,,Cape Canaveral,Delta 4 Heavy
25336,1998-029A,USA 139,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,-26,35560,36013,7.72,1436.14,5200,,,Cape Canaveral,Titan IVA
27937,2003-041A,USA 171,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,68,35589,35984,3.2,1436.1,5200,,,Cape Canaveral,Titan IV
33490,2009-001A,USA 202,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,44,35714,35937,2.89,1438.8,5400,,,Cape Canaveral,Delta 4 Heavy
37232,2010-063A,USA 223,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,95,35500,35500,0,1436,5000,,,Cape Canaveral,Delta 4 Heavy
38528,2012-034A,USA 237,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,60,35771,35805,0,1436.1,5000,,,Cape Canaveral,Delta 4 Heavy
41584,2016-036A,USA 268,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,102.6,35613,35903,7.51,1437.19,5000,,,Cape Canaveral,Delta 4 Heavy
39256,2013-050A,USA 246,USA,USA Air Force,Military,Communications,GEO,152.1,35700,35803,4.2,1436.1,6169,,14,Cape Canaveral,Atlas 5
43651,2018-079A,USA 288,USA,USA Air Force,Military,Communications,GEO,150.2,35781,35790,0.05,1436.1,6169,,,Cape Canaveral,Atlas 5
44481,2019-051A,USA 292,USA,USA Air Force,Military,Communications,GEO,-94.39,35780,35810,6.4,1436.2,6169,,,Cape Canaveral,Atlas 5
45465,2020-022B,USA 298,USA,USA Air Force ,Military,Communications,GEO,0,35780,35780,0,1436,6169,,,Cape Canaveral,Atlas 5
38254,2012-019A,USA 235,USA,USA Air Force,Military,Communications,GEO,-120,35772,35801,2.34,1436.1,6169,,14,Cape Canaveral,Atlas 5
38760,2012-048C,Aeneas,USA,Department of Homeland Security,Government,Technology Development,LEO,0,480,790,0.02,97.4,3,,,Vandenberg AFB,Atlas 5
43600,2018-066A,AeolUSA,ESA,European Space Agency (ESA),Government,Earth Observation,LEO,0,314,317,96.7,92.4,1367,,3,Guiana Space Center,Vega
44485,2019-022D,Aerocube 10A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,469,481,51.6,94.15,2,,,CygnUSA,Nanorack Deployer
44484,2019-022C,Aerocube 10B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,471,483,51.6,94.15,2,,,CygnUSA,Nanorack Deployer
43861,2018-104N,Aerocube 11A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,495,511,85.03,94.6,4,,,Rocket Lab Launch Complex 1,Electron
43849,2018-104A,Aerocube 11B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,492,511,85.3,94.6,4,,,Rocket Lab Launch Complex 1,Electron
43556,2018-046C,Aerocube 12A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,481,487,51.6,94.2,4,,,CygnUSA,Nanorack Deployer
43557,2018-046D,Aerocube 12B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,481,487,51.6,94.2,4,,,CygnUSA,Nanorack Deployer
45114,2019-071D,Aerocube 14A,USA,Aerospace Corporation,Military,Technology Development,LEO,0,459,474,51.6,93.9,,,,CygnUSA,Nanorack Deployer
45116,2019-071F,Aerocube 14B,USA,Aerospace Corporation,Military,Technology Development,LEO,0,459,474,51.6,93.9,,,,CygnUSA,Nanorack Deployer
45117,2019-071G,Aerocube 15A,USA,Aerospace Corporation,Military,Technology Development,LEO,0,458,474,51.6,93.9,,,,CygnUSA,Nanorack Deployer
40965,2015-058B,Aerocube 5C,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,500,802,64.78,97.74,2,,,Vandenberg AFB,Atlas 5
40045,2014-033AM,Aerocube 6A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,614,700,97.98,97.88,5,,3,Dombarovsky Air Base,Dnepr
40046,2014-033AN,Aerocube 6B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,614,700,97.98,97.88,5,,3,Dombarovsky Air Base,Dnepr
40966,2015-058C,Aerocube 7A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,500,802,64.6,97.4,2,,,Vandenberg AFB,Atlas 5
41853,2016-067F,Aerocube 8C,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,569,584,97.9,96.2,5,,,Vandenberg AFB,Atlas 5
41852,2016-067E,Aerocube 8D,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,572,584,98,96.23,2,,,Vandenberg AFB,Atlas 5
33460,2008-065B,Eutelsat 48D,Multinational,EUTELSAT S.A.,Commercial,Communications,GEO,48,35764,35808,0.12,1436.08,3460,1555,15,Guiana Space Center,Ariane 5
48270,2021-034C,AII-Bravo,Lithuania,Aurora Insight,Commercial,Communications,LEO,0,609,613,97.8,95.8,9,,,Guiana Space Center,Vega W18
47440,2021-006AD,AII-Charlie,Lithuania,Aurora Insight,Commercial,Communications,LEO,0,522,535,97.5,95.2,9,,,Cape Canaveral,Falcon 9
31304,2007-015A,AIM,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,LEO,0,544,552,97.9,96.2,215,197,2,Vandenberg AFB,PegasUSA XL
36797,2010-035C,AISSat-1,Norway,Norwegian Coastal Admnistration,Government,Communications,LEO,0,615,632,98,97.2,6,,3,Satish Dhawan Space Centre,PSLV
40075,2014-037G,AISSat-2,Norway,Norwegian Coastal Admnistration,Government,Communications,LEO,0,625,631,98.4,97.27,6,,3,Baikonur Cosmodrome,Soyuz-2.1b
43768,2018-099L,AISTechSat-2,Spain,AISTech,Commercial,Earth Observation,LEO,0,574,592,97.8,96.4,3,,,Vandenberg AFB,Falcon 9
44103,2019-018AB,AISTechSat-3,Spain,AISTech,Commercial,Earth Observation,LEO,0,490,506,97.5,94.6,2,,,Satish Dhawan Space Centre,PSLV
43174,2018-012A,Al Yah-3,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,GEO,-20,35777,35796,0,1436,3795,,15,Guiana Space Center,Ariane 5
43039,2017-078A,Alcomsat,Algeria,Algerian Space Agency (ASAL),Government,Communications,GEO,-24.8,35744,35798,0.04,1436.1,5225,,15,Xichang Satellite Launch Center,Long March 3B
44824,2019-084A,ALE-2,Japan,Astro Live Experiences,Commercial,Earth Science,LEO,0,397,414,97.01,92.06,75,,,Rocket Lab Launch Complex 1,Electron
52160,2022-033D,Alfa Crux,Brazil,University of Brasilia,Civil,Technology Development,LEO,0,499,511,97.4,95,1,,,Cape Canaveral,Falcon 9
43805,2018-099AZ,Al-Farabi-2,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,LEO,0,573,589,97.7,96.2,4,,,Vandenberg AFB,Falcon 9
39467,2013-072F,ALiCE,USA,USA Air Force Institute of Technology,Military,Technology Development,LEO,0,443,886,120.3,98,5,,,Vandenberg AFB,Atlas 5
41785,2016-059C,Alsat-1B,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,0,661,704,98.2,98.4,103,,5,Satish Dhawan Space Centre,PSLV
41789,2016-059G,AlSat-1N,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,LEO,0,661,698,98.2,98.3,10,,,Satish Dhawan Space Centre,PSLV
36798,2010-035D,Alsat-2A,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,0,672,674,98.1,98.2,130,,5,Satish Dhawan Space Centre,PSLV
41786,2016-059D,Alsat-2B,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,0,646,660,98.2,97.7,117,,5,Satish Dhawan Space Centre,PSLV
35942,2009-054A,Amazonas-2,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,-61,35767,35805,0.03,1436.08,5465,,15,Guiana Space Center,Ariane 5
39078,2013-006A,Amazonas-3,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,-61,35781,35791,0.03,1436.05,6265,2778,15,Guiana Space Center,Ariane 5 ECA
39616,2014-011A,Amazonas-4A,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,-61,35784,35795,0.08,1436.24,2938,,15,Guiana Space Center,Ariane 5 ECA
42934,2017-053A,Amazonas-5,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,-61,35785,35789,0.04,1436.11,5900,,15,Baikonur Cosmodrome,Proton
47699,2021-015A,Amazonia-1,Brazil,National Institute for Space Research (INPE),Government,Earth Observation,LEO,0,761,764,98.5,99.9,637,,4,Satish Dhawan Space Centre,PSLV
24315,1996-054A,AMC-1,USA,SES S.A.,Commercial,Communications,GEO,-129.15,35772,35800,0.03,1436.1,2783,1600,15,Cape Canaveral,Atlas 2A
28252,2004-017A,AMC-11,USA,SES S.A.,Commercial,Communications,GEO,-130.93,35774,35797,0.04,1436.07,2340,2316,15,Cape Canaveral,Atlas 2AS
28446,2004-041A,AMC-15,USA,SES S.A.,Commercial,Communications,GEO,-105.04,35777,35795,0.04,1436.08,4200,,15,Baikonur Cosmodrome,Proton M
29644,2006-054B,AMC-18,USA,SES S.A.,Commercial,Communications,GEO,-104.97,35773,35800,0.06,1436.1,2081,918,15,Guiana Space Center,Ariane 5
33275,2008-038B,AMC-21,USA,SES S.A.,Commercial,Communications,GEO,-124.86,35778,35793,3,1436.1,2500,,15,Guiana Space Center,Ariane 5 ECA
25954,1999-060A,AMC-4,USA,SES S.A./Gogo,Commercial,Communications,GEO,-100.99,35781,35791,0.01,1436.1,3909,2500,15,Guiana Space Center,Ariane 44LP
26580,2000-067A,AMC-6,USA,SES S.A.,Commercial,Communications,GEO,-71.98,35778,35795,0.05,1436.12,3901,2500,15,Baikonur Cosmodrome,Proton K
26639,2000-081B,AMC-8,USA,SES S.A.,Commercial,Communications,GEO,-139,35773,35798,0.03,1436.07,2015,919,15,Guiana Space Center,Ariane 5G
44394,2019-038J,AmGU-1,RUSAsia,Moscow State University,Civil,Space Science,LEO,0,514,547,97.5,95.2,4,,,Vostochny Cosmodrome,Soyuz-2.1b
44479,2019-050A,Amos 17,USA,Space-Communication Ltd.,Military/Commercial,Communications,GEO,17,35777,35793,0,1436.04,6500,,20,Cape Canaveral,Falcon 9
32794,2008-022A,Amos 3,USA,Space-Communication Ltd.,Military/Commercial,Communications,GEO,-3.99,35783,35789,0.04,1436.1,,,12,Baikonur Cosmodrome,Zenit 3SLB
39237,2013-045A,Amos 4,USA,Space-Communication Ltd.,Military/Commercial,Communications,GEO,65,35633,35796,0.01,1432,,,12,Baikonur Cosmodrome,Zenit 2SB
7530,1974-089B,Amsat-Oscar 7,USA,AMSAT-NA,Civil,Communications,LEO,0,1440,1459,101.4,114.9,29,,,Vandenberg AFB,Delta 2310
45920,2020-048A,ANASIS-II,South Korea,Agency for Defense Development,Military,Communications,GEO,115.9,35781,35792,0.01,1436.1,,,15,Cape Canaveral,Falcon 9
45726,2020-037D,ANDESITE Mule,USA,ANDESITE - Boston University,Civil,Space Science/Technology Demonstration,LEO,0,582,600,97.7,96.5,9,,,Rocket Lab Launch Complex 1,Electron
44876,2019-092D,ANGELS,ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,LEO,0,509,524,97.4,94.9,18,,,Guiana Space Center,Soyuz
54033,2022-131A,Angosat-2,Angola,AngoSat,Government,Communications,LEO,23,35782,35791,0.02,,2150,,,Baikonur Cosmodrome,Proton
26624,2000-076A,Anik F1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-107.27,35778,35793,0.02,1436.08,4710,2950,15,Guiana Space Center,Ariane 44L
28868,2005-036A,Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-107.3,35777,35795,0.02,1436.1,4500,,15,Baikonur Cosmodrome,Proton M
28378,2004-027A,Anik F2,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-111.07,35781,35790,0.01,1436.08,5910,3805,15,Guiana Space Center,Ariane 5
31102,2007-009A,Anik F3,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-118.69,35778,35794,0.01,1436.1,4715,,15,Baikonur Cosmodrome,Proton M
39127,2013-014A,Anik G1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-107.3,35773,35799,0.01,1436.08,4905,,15,Baikonur Cosmodrome,Proton M
28372,2004-025G,AprizeSat 1,Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Technology Development,LEO,0,696,764,98,99.4,12,12,,Baikonur Cosmodrome,Dnepr
40019,2014-033K,AprizeSat 10,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,LEO,0,613,733,97.9,98,12,12,,Dombarovsky Air Base,Dnepr
28366,2004-025A,AprizeSat 2,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Technology Development,LEO,0,694,850,98.2,100.3,12,12,,Baikonur Cosmodrome,Dnepr
35686,2009-041F,AprizeSat 3,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,LEO,0,559,662,98.18,97,12,12,,Baikonur Cosmodrome,Dnepr
35684,2009-041D,AprizeSat 4,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,LEO,0,604,674,98.1,97.5,12,12,,Baikonur Cosmodrome,Dnepr
37792,2011-044E,AprizeSat 5,Canada,"Aprize Satellite, Argentina",Commercial,Communications,LEO,0,610,694,98.2,97.8,12,12,,Dombarovsky Air Base,Dnepr
39416,2013-066A,AprizeSat 7,Canada,"Aprize Satellite, Argentina",Commercial,Communications,LEO,0,594,653,97.8,97.17,12,12,,Dombarovsky Air Base,Dnepr
39425,2013-066K,AprizeSat 8,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,LEO,0,594,669,97.8,97.99,12,12,,Dombarovsky Air Base,Dnepr
40018,2014-033J,AprizeSat 9,Canada,exactEarth,Commercial,Communications/Maritime Tracking,LEO,0,613,715,97.9,98,12,12,,Dombarovsky Air Base,Dnepr
43450,2018-041A,Apstar 6C,China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,134,35783,35790,0.05,1436.1,,,15,Xichang Satellite Launch Center,Long March 3B
45863,2020-045A,Apstar 6D,China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,134,35785,35885,0.01,1438.5,5550,,15,Xichang Satellite Launch Center,Long March 3B
38107,2012-013A,Apstar 7,China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,76.5,35864,35874,0.03,1440.31,5054,,15,Xichang Satellite Launch Center,Long March 3B
40982,2015-059A,Apstar 9,China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,142,35782,35788,0.12,1436.01,5200,,15,Xichang Satellite Launch Center,Long March 3B
37810,2011-049B,Arabsat 5C,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,19.99,35766,35805,0.06,1436.06,4630,,15,Guiana Space Center,Ariane 5 ECA
44186,2019-021A,Arabsat 6A,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,GEO,30.5,35774,35811,0.01,1436,6465,,15,Cape Canaveral,Falcon Heavy
47484,2021-006BZ,ARCE 1A,USA,"University of South Florida, Institute of Applied Engineering (IAE).",Civil,Technology Development,LEO,0,526,535,97.5,95.2,1,,,Cape Canaveral,Falcon 9/Sherpa FX
47615,2021-006EG,ARCE 1B,USA,"University of South Florida, Institute of Applied Engineering (IAE).",Civil,Technology Development,LEO,0,522,536,97.5,95.2,1,,,Cape Canaveral,Falcon 9/Sherpa FX
47616,2021-006EH,ARCE 1C,USA,"University of South Florida, Institute of Applied Engineering (IAE).",Civil,Technology Development,LEO,0,522,536,97.5,95.2,1,,,Cape Canaveral,Falcon 9/Sherpa FX
52161,2022-033E,ARCSAT,Norway,Norwegian Defence Research Establishment,Military,Technology Demonstration,LEO,0,499,510,97.4,95,10,,,Cape Canaveral,Falcon 9
49403,2021-102J,ARICA,Japan,Aoyama Gakuin University in Tokyo,Civil,Technology Development,LEO,0,547,572,97.6,95,1,,,Uchinoura Space Center,H2A
47719,2021-016A,Arktika-M1,RUSAsia,Naval Physical and Oceanographic Laboratory,Government,Earth Observation,Elliptical,0,1025,39754,63.3,717.8,2200,780,7,Baikonur Cosmodrome,Soyuz-2.1b
43130,2018-004V,Arkyd-6A,USA,Planetary Resources,Commercial,Technology Development,LEO,0,493,505,97.5,94.5,10,,,Satish Dhawan Space Centre,PSLV
40272,2014-062B,ArSat 1,Argentina,ArSat,Commercial,Communications,GEO,-71.8,35778,35795,0.01,1436.07,3000,,15,Guiana Space Center,Ariane 5 ECA
40941,2015-054B,ArSat 2,Argentina,ArSat,Commercial,Communications,GEO,-81,35786,35801,0.01,1436.06,2977,,15,Guiana Space Center,Ariane 5 ECA
48953,2021-059CC,Arthur,Belgium,Aerospacelab,Commercial,Earth Observation,LEO,0,512,535,97.5,95.1,20,,,Cape Canaveral,Falcon 9
47441,2021-006AE,ASELSAT,Turkey,Istanbul Technical  University,Civil,Earth Observation,LEO,0,522,536,97.5,95.2,5,,,Cape Canaveral,Falcon 9
35696,2009-042A,AsiaSat-5,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,100.5,35778,35795,0,1436.11,3760,,15,Baikonur Cosmodrome,Breeze M
40141,2014-052A,AsiaSat-6,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,120,35783,35793,0.07,1436.17,3700,,15,Cape Canaveral,Falcon 9
37933,2011-069A,AsiaSat-7,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,105.5,35782,35793,0.02,1436.17,3813,,15,Baikonur Cosmodrome,Proton M
40107,2014-046A,AsiaSat-8,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,105.5,35781,35793,0.07,1436.1,4500,,15,Cape Canaveral,Falcon 9
42942,2017-057A,AsiaSat-9,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,122,35783,35790,0.02,1436.1,6140,,15,Baikonur Cosmodrome,Proton
26107,2000-016A,AsiaStar,USA,1Worldspace,Commercial,Communications,GEO,104.97,35773,35801,0.02,1436.15,2775,1530,15,Guiana Space Center,Ariane 5G
40298,2014-070A,ASNARO-1,Japan,Japan Space Systems,Government,Earth Observation,LEO,0,506,507,97.48,94.75,500,,3,Dombarovsky Air Base,Dnepr
43152,2018-007A,ASNARO-2,Japan,Japan Space Systems,Government,Earth Observation,LEO,0,493,505,97.3,94.5,570,,3,Uchinoura Space Center,Epsilon
49397,2021-102C,ASTERISC,Japan,Chiba Institute of Technology,Civil,Technology Development,LEO,0,556,573,97.6,94.5,4,,,Uchinoura Space Center,H2A
25071,1997-076A,Astra 1G,Luxembourg,SES S.A.,Commercial,Communications,GEO,19.24,35780,35791,0.04,1436.08,3379,3010,15,Baikonur Cosmodrome,Proton K
29055,2006-012A,Astra 1KR,Luxembourg,SES S.A.,Commercial,Communications,GEO,19.16,35766,35807,0.08,1436.1,4332,,15,Cape Canaveral,Atlas 5
31306,2007-016A,Astra 1L,Luxembourg,SES S.A.,Commercial,Communications,GEO,19.3,35772,35798,0.05,1436.03,4500,,15,Guiana Space Center,Ariane 5 ECA
33436,2008-057A,Astra 1M,Luxembourg,SES S.A.,Commercial,Communications,GEO,19.2,35804,35852,0.14,1438.2,5345,,15,Baikonur Cosmodrome,Proton M
37775,2011-041A,Astra 1N,Luxembourg,SES S.A.,Commercial,Communications,GEO,28.2,35715,35780,0.12,1434.1,5350,,15,Guiana Space Center,Ariane 5 ECA
25462,1998-050A,Astra 2A,Luxembourg,SES S.A.,Commercial,Communications,GEO,28.16,35776,35797,0.08,1436.12,3635,2500,15,Baikonur Cosmodrome,Proton K
26853,2001-025A,Astra 2C,Luxembourg,SES S.A.,Commercial,Communications,GEO,28.21,35768,35804,0.07,1436.12,3643,2000,15,Baikonur Cosmodrome,Proton K
26638,2000-081A,Astra 2D,Luxembourg,SES S.A.,Commercial,Communications,GEO,28.14,35770,35802,0.07,1436.1,1420,700,15,Guiana Space Center,Ariane 5G
39285,2013-056A,Astra 2E,Luxembourg,SES S.A.,Commercial,Communications,GEO,28.2,35781,35793,0.11,1436.12,6052,,15,Baikonur Cosmodrome,Proton M
38778,2012-051A,Astra 2F,Luxembourg,SES S.A.,Commercial,Communications,GEO,28.2,35777,35795,0.06,1436.07,6000,2660,15,Guiana Space Center,Ariane 5 ECA
40364,2014-089A,Astra 2G,Luxembourg,SES S.A.,Commercial,Communications,GEO,28.2,35785,35789,0.09,1436.11,6000,,15,Baikonur Cosmodrome,Proton M
27400,2002-015B,Astra 3A,Luxembourg,SES S.A.,Commercial,Communications,GEO,23.48,35770,35804,0.06,1436.07,1500,750,10,Guiana Space Center,Ariane 44L
36581,2010-021A,Astra 3B,Luxembourg,SES S.A.,Commercial,Communications,GEO,23.5,35768,35806,0.08,1436.11,5471,,15,Guiana Space Center,Ariane 5 ECA
39617,2014-011B,Astra 5B,Luxembourg,SES S.A.,Commercial,Communications,GEO,31.55,35787,35793,0.05,1436.26,5724,,15,Guiana Space Center,Ariane 5 ECA
43127,2018-004S,Astranis Demosat-2,USA,Astranis,Commercial,Technology Development,LEO,0,494,505,97.5,94.5,,,,Satish Dhawan Space Centre,PSLV
47430,2021-006T,Astrocast-0101 ,Switzerland,Astrocast,Commercial,Communications,LEO,0,521,534,97.5,94.6,4,,,Cape Canaveral,Falcon 9/Sherpa FX
47488,2021-006CD,Astrocast-0102 ,Switzerland,Astrocast,Commercial,Communications,LEO,0,523,535,97.5,94.6,4,,,Cape Canaveral,Falcon 9/Sherpa FX
47487,2021-006CC,Astrocast-0103 ,Switzerland,Astrocast,Commercial,Communications,LEO,0,522,536,97.5,94.6,4,,,Cape Canaveral,Falcon 9/Sherpa FX
47519,2021-006DK,Astrocast-0104 ,Switzerland,Astrocast,Commercial,Communications,LEO,0,524,537,97.5,94.5,4,,,Cape Canaveral,Falcon 9/Sherpa FX
47517,2021-006DH,Astrocast-0105 ,Switzerland,Astrocast,Commercial,Communications,LEO,0,526,535,97.5,94.5,4,,,Cape Canaveral,Falcon 9/Sherpa FX
48954,2021-059CD,Astrocast-0201 ,Switzerland,Astrocast,Commercial,Communications,LEO,0,512,535,97.5,95.1,4,,,Cape Canaveral,Falcon 9
48961,2021-059CL,Astrocast-0202   ,Switzerland,Astrocast,Commercial,Communications,LEO,0,511,536,97.5,95,4,,,Cape Canaveral,Falcon 9
48955,2021-059CE,Astrocast-0203,Switzerland,Astrocast,Commercial,Communications,LEO,0,511,536,97.5,95,4,,,Cape Canaveral,Falcon 9
48952,2021-059CB,Astrocast-0204 ,Switzerland,Astrocast,Commercial,Communications,LEO,0,513,536,97.5,95.1,4,,,Cape Canaveral,Falcon 9
48960,2021-059CK,Astrocast-0205 ,Switzerland,Astrocast,Commercial,Communications,LEO,0,513,535,97.5,95,4,,,Cape Canaveral,Falcon 9
40930,2015-052A,Astrosat,India,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,LEO,0,632,649,5.99,97.54,230,,5,Satish Dhawan Space Centre,PSLV C-30
44333,2019-034A,AT&T T16,USA,"DirecTV, Inc.",Commercial,Communications,GEO,-101,35653,36757,0.02,1436.07,6350,,15,Guiana Space Center,Ariane 5
46275,2020-061D,Athena,USA,PointView Tech,Commercial,Communications,LEO,0,516,524,97.4,94.5,138,,,Guiana Space Center,Vega
39509,2014-006B,Athena-FidUSA,France/Italy,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Government/Military,Communications,GEO,25,35784,35788,0.05,1436.06,3080,,15,Guiana Space Center,Ariane 5 ECA
41168,2015-077C,Athenoxat-1,Singapore,Microspace Rapid Pvt Ltd.,Commercial,Technology Development,LEO,0,532,550,14.98,95.46,6,,,Satish Dhawan Space Centre,PSLV-C29
39079,2013-006B,Azerspace 1/Africasat-1a,Azerbaijan,Azercosmos,Government,Communications,GEO,46,35778,35794,0.04,1436.08,3250,1438,15,Guiana Space Center,Ariane 5 ECA
43632,2018-074A,Azerspace 2/Intelsat-38,Azerbaijan,Azercosmos,Government,Communications,GEO,45,35750,35750,0.02,1436.1,3500,,15,Guiana Space Center,Ariane 5 ECA
29526,2006-051A,Badr 4,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,26.02,35780,35791,0.07,1436.06,3304,1487,15,Baikonur Cosmodrome,Proton M
36592,2010-025A,Badr 5,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,26,35834,35883,0.06,1439.76,5420,,15,Baikonur Cosmodrome,Proton
36745,2010-032B,Badr 5A,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,30.5,35605,35623,0.03,1427.27,4940,,15,Guiana Space Center,Ariane 5 ECA
33154,2008-034B,Badr 6,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,26.08,35768,35805,0.05,1436.1,3400,,15,Guiana Space Center,Ariane 5 ECA
41029,2015-065B,Badr 7,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,26,35768,35817,0.1,1436,5500,,15,Guiana Space Center,Ariane 5
