NORAD Number,COSPAR Number,Official Name,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Inclination (degrees),Period (minutes),Launch Mass (kg.), Dry Mass (kg.) ,Expected Lifetime (yrs.),Launch Site,Launch Vehicle
52576,2022-051L,Starlink-3926 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52538,2022-051AN,Starlink-3927 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52675,2022-052J,Starlink-3928 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52549,2022-051AL,Starlink-3929 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52674,2022-051AM,Starlink-3930 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52542,2022-051R,Starlink-3931 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52566,2022-051AS,Starlink-3932 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52545,2022-051F,Starlink-3933 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52540,2022-053V,Starlink-3934 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52638,2022-051S,Starlink-3935 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52563,2022-053U,Starlink-3936 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52557,2022-051K,Starlink-3937 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52544,2022-051AK,Starlink-3938 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52691,2022-051N,Starlink-3939 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52693,2022-051H,Starlink-3940 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52607,2022-052AS,Starlink-3941 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
